"";"subj.id";"age_s_c";"gender";"educ_s_c";"prior.climate.pos";"prior.climate.cert";"prior.climate.imp";"prior.climate.diff";"prior.climate.act";"prior.gmo.pos";"prior.gmo.cert";"prior.gmo.imp";"prior.gmo.diff";"prior.hom.pos";"prior.hom.cert";"prior.hom.imp";"prior.hom.diff";"condition";"topic";"version";"diff";"eff";"frustr";"order";"percc";"resp";"rt";"ideology";"num_c";"crt_c";"Duration__in_seconds_";"prior.conc";"ideology.conc";"condition.binary";"eff.index"
"1";2;0,186471613817152;0;0,0418233082706767;50;50;50;28;50;10;9;24;32;11;24;2;1;"hard";"clim";"s";-50;-50;-50;2;50;1;27,464;2;-0,398155715375396;-0,226544622425629;556;"conc";"conc";"1";-50
"2";2;0,186471613817152;0;0,0418233082706767;50;50;50;28;50;10;9;24;32;11;24;2;1;"hard";"gmo";"ns";-50;-50;-50;3;50;1;16,488;2;-0,398155715375396;-0,226544622425629;556;"disc";"disc";"1";-50
"3";2;0,186471613817152;0;0,0418233082706767;50;50;50;28;50;10;9;24;32;11;24;2;1;"hard";"hom";"ns";-19;-8;-50;1;50;1;54,036;2;-0,398155715375396;-0,226544622425629;556;"disc";"neutr";"1";-13,5
"4";4;0,0415440775852681;0;0,0418233082706767;21;21;21;-30;21;-41;31;-10;-45;-50;41;1;-45;"hard";"clim";"ns";-49;-40;-49;1;-47;0;60,948;5,33333333333333;-0,0648223820420625;-0,226544622425629;704;"disc";"conc";"1";-44,5
"5";4;0,0415440775852681;0;0,0418233082706767;21;21;21;-30;21;-41;31;-10;-45;-50;41;1;-45;"hard";"gmo";"ns";-45;-40;-50;3;-47;0;21,006;5,33333333333333;-0,0648223820420625;-0,226544622425629;704;"disc";"conc";"1";-42,5
"6";4;0,0415440775852681;0;0,0418233082706767;21;21;21;-30;21;-41;31;-10;-45;-50;41;1;-45;"hard";"hom";"s";-41;-32;-50;2;-44;0;35,468;5,33333333333333;-0,0648223820420625;-0,226544622425629;704;"conc";"neutr";"1";-36,5
"7";5;0,244442628309906;0;-0,208176691729323;17;-9;14;15;18;-13;31;31;-17;9;-9;12;14;"hard";"clim";"s";29;32;34;2;36;0;38,486;3,66666666666667;-0,175933493153174;-0,226544622425629;678;"conc";"conc";"1";30,5
"8";5;0,244442628309906;0;-0,208176691729323;17;-9;14;15;18;-13;31;31;-17;9;-9;12;14;"hard";"gmo";"s";34;32;28;1;-16;1;109,745;3,66666666666667;-0,175933493153174;-0,226544622425629;678;"conc";"conc";"1";33
"9";5;0,244442628309906;0;-0,208176691729323;17;-9;14;15;18;-13;31;31;-17;9;-9;12;14;"hard";"hom";"s";29;29;28;3;-25;1;34,902;3,66666666666667;-0,175933493153174;-0,226544622425629;678;"conc";"neutr";"1";29
"10";6;0,11400784570121;1;-0,208176691729323;12;12;18;-20;-5;27;17;17;-26;20;17;-7;-25;"easy";"clim";"ns";15;21;-49;2;14;1;82,282;5;0,268510951291271;0,106788710907704;788;"disc";"conc";"0";18
"11";6;0,11400784570121;1;-0,208176691729323;12;12;18;-20;-5;27;17;17;-26;20;17;-7;-25;"easy";"gmo";"ns";18;17;-33;1;3;0;88,262;5;0,268510951291271;0,106788710907704;788;"disc";"conc";"0";17,5
"12";6;0,11400784570121;1;-0,208176691729323;12;12;18;-20;-5;27;17;17;-26;20;17;-7;-25;"easy";"hom";"ns";22;14;-48;3;14;0;45,8;5;0,268510951291271;0,106788710907704;788;"disc";"neutr";"0";18
"13";7;0,215457121063529;0;-0,208176691729323;29;43;37;-50;50;10;6;1;-50;1;1;1;-2;"hard";"clim";"s";13;-32;-38;2;26;1;78,414;3,33333333333333;-0,175933493153174;-0,226544622425629;758;"conc";"conc";"1";-9,5
"14";7;0,215457121063529;0;-0,208176691729323;29;43;37;-50;50;10;6;1;-50;1;1;1;-2;"hard";"gmo";"ns";-14;-50;-50;3;36;0;30,037;3,33333333333333;-0,175933493153174;-0,226544622425629;758;"disc";"disc";"1";-32
"15";7;0,215457121063529;0;-0,208176691729323;29;43;37;-50;50;10;6;1;-50;1;1;1;-2;"hard";"hom";"ns";-12;22;-28;1;14;1;64,138;3,33333333333333;-0,175933493153174;-0,226544622425629;758;"disc";"neutr";"1";5
"16";8;0,186471613817152;0;-0,208176691729323;-32;-28;-27;-38;10;-12;-8;-9;-11;11;14;14;-40;"easy";"clim";"ns";-9;-10;-8;3;-8;0;78,555;7;-0,287044604264285;-0,226544622425629;799;"conc";"conc";"0";-9,5
"17";8;0,186471613817152;0;-0,208176691729323;-32;-28;-27;-38;10;-12;-8;-9;-11;11;14;14;-40;"easy";"gmo";"s";-11;-10;-10;2;-6;1;56,268;7;-0,287044604264285;-0,226544622425629;799;"disc";"disc";"0";-10,5
"18";8;0,186471613817152;0;-0,208176691729323;-32;-28;-27;-38;10;-12;-8;-9;-11;11;14;14;-40;"easy";"hom";"s";-42;-35;-39;1;-38;0;24,752;7;-0,287044604264285;-0,226544622425629;799;"disc";"neutr";"0";-38,5
"19";9;-0,233818241255312;1;-0,208176691729323;48;50;50;-50;45;-27;34;33;-18;46;36;50;-15;"hard";"clim";"s";-42;-33;23;2;-33;0;12,398;7;-0,255298572518253;-0,226544622425629;559;"conc";"disc";"1";-37,5
"20";9;-0,233818241255312;1;-0,208176691729323;48;50;50;-50;45;-27;34;33;-18;46;36;50;-15;"hard";"gmo";"s";-39;-40;-50;3;24;0;35,401;7;-0,255298572518253;-0,226544622425629;559;"conc";"disc";"1";-39,5
