"";"subj.id";"age_s_c";"gender";"educ_s_c";"prior.climate.pos";"prior.climate.cert";"prior.climate.imp";"prior.climate.diff";"prior.climate.act_1";"prior.gmo.pos";"prior.gmo.cert";"prior.gmo.imp";"prior.gmo.diff";"prior.hom.pos";"prior.hom.cert";"prior.hom.imp";"prior.hom.diff";"condition";"topic";"version";"diff";"eff";"frustr";"order";"percc";"resp";"rt";"ideology";"num_c";"prior.conc";"ideology.conc";"condition.binary"
"396";238;0,283767330426928;0;0,0415537488708225;-50;50;-41;-50;-50;-40;50;31;-50;-31;43;-22;-50;"easy";"hom";"ns";-50;3;-20;1;50;0;71,138;6;-0,180969587473653;"conc";"neutr";"0"
"397";240;0,399709359412435;1;0,374887082204156;-29;50;41;-39;-41;-19;42;23;12;32;31;31;11;"easy";"clim";"ns";-19;22;-30;2;21;0;176,77;7;0,0412526347485692;"conc";"conc";"0"
"398";240;0,399709359412435;1;0,374887082204156;-29;50;41;-39;-41;-19;42;23;12;32;31;31;11;"easy";"gmo";"ns";-8;20;-32;3;32;1;144,777;7;0,0412526347485692;"conc";"conc";"0"
"399";240;0,399709359412435;1;0,374887082204156;-29;50;41;-39;-41;-19;42;23;12;32;31;31;11;"easy";"hom";"ns";-9;20;-40;1;21;0;206,339;7;0,0412526347485692;"conc";"neutr";"0"
"400";242;0,182318055064609;0;0,374887082204156;50;50;50;-30;50;-50;50;50;31;41;32;0;41;"easy";"clim";"ns";-9;-10;-32;3;40;1;132,808;2,66666666666667;0,374585968081903;"neutr";"disc";"0"
"401";242;0,182318055064609;0;0,374887082204156;50;50;50;-30;50;-50;50;50;31;41;32;0;41;"easy";"gmo";"ns";-40;-41;-40;1;41;0;87,52;2,66666666666667;0,374585968081903;"neutr";"disc";"0"
"402";242;0,182318055064609;0;0,374887082204156;50;50;50;-30;50;-50;50;50;31;41;32;0;41;"easy";"hom";"s";-21;-21;-29;2;30;1;87,136;2,66666666666667;0,374585968081903;"neutr";"neutr";"0"
"403";243;0,341738344919681;1;0,374887082204156;39;36;50;-50;50;-27;50;43;-50;31;33;39;-50;"hard";"clim";"s";16;9;-38;3;33;1;95,775;2;-0,0698584763625419;"disc";"conc";"1"
"404";243;0,341738344919681;1;0,374887082204156;39;36;50;-50;50;-27;50;43;-50;31;33;39;-50;"hard";"gmo";"ns";-24;-23;-42;1;42;0;135,602;2;-0,0698584763625419;"conc";"disc";"1"
"405";243;0,341738344919681;1;0,374887082204156;39;36;50;-50;50;-27;50;43;-50;31;33;39;-50;"hard";"hom";"s";14;11;-50;2;22;0;122,241;2;-0,0698584763625419;"disc";"neutr";"1"
